key,provinciaId,distritoId,corregimientoId,codigo,nombre_corregimiento,cabecera
953343,1,0,1,1,Bocas Del T. ,1
953467,1,0,5,5,Punta Laurel,0
953591,1,0,9,9,Tierra Oscura,0
953622,1,0,10,10,Boca De Drago,0
953653,1,0,11,11,San Cristobal,0
953684,1,0,12,12,Isla Bastimento,0
954304,1,1,1,1,Changuinola ,1
954366,1,1,3,3,Guabito,0
954459,1,1,6,6,El Empalme,0
954490,1,1,7,7,Las Tablas,0
954583,1,1,10,10,Las Delicias,0
954614,1,1,11,11,Cochigró,0
954645,1,1,12,12,La Gloria,0
954676,1,1,13,13,Finca 60,0
954707,1,1,14,14,Finca 6,0
954738,1,1,15,15,Barriada 4 De Abril,0
954769,1,1,16,16,Finca 30,0
954800,1,1,17,17,El Silencio,0
954831,1,1,18,18,Finca 66,0
954862,1,1,19,23,Finca 12,0
954893,1,1,20,19,Finca 51,0
954924,1,1,21,20,Finca 4,0
954955,1,1,22,21,Barranco Adentro,0
954986,1,1,23,22,La Mesa,0
955265,1,2,1,1,Chiriquí G. ,1
955420,1,2,6,6,Punta Robalo,0
955482,1,2,8,8,Miramar,0
955513,1,2,9,9,Punta Peña,0
955544,1,2,10,10,Rambala,0
955575,1,2,11,11,Bajo Cedro,0
956226,1,3,1,1,Almirante,0
956257,1,3,2,2,Valle De Aguas Arriba,0
956288,1,3,3,3,Valle De Risco,0
956319,1,3,4,4,Nance De Risco,0
956350,1,3,5,5,Barrio Francés,0
956381,1,3,6,6,Barriada Guaymí,0
956412,1,3,7,7,Cauchero,0
956443,1,3,8,8,Miraflores,0
956474,1,3,9,9,Bajo Culubre,0
956505,1,3,10,10,Ceiba,0
983134,2,0,1,1,Aguadulce ,1
983165,2,0,2,2,El Cristo,0
983196,2,0,3,3,El Roble,0
983227,2,0,4,4,Pocrí,0
983258,2,0,5,5,Barrios Unidos,0
983289,2,0,6,6,Pueblos Unidos,0
983320,2,0,7,7,Virgen Del Carmen,0
983351,2,0,8,8,Hato De San Juan De Dios,0
984095,2,1,1,1,Antón ,1
984126,2,1,2,2,Cabuya,0
984157,2,1,3,3,El Chirú,0
984188,2,1,4,4,El Retiro,0
984219,2,1,5,5,El Valle,0
984250,2,1,6,6,Juan Díaz,0
984281,2,1,7,7,Río Hato,0
984312,2,1,8,8,San Juan De Dios,0
984343,2,1,9,9,Santa Rita,0
984374,2,1,10,10,Caballero,0
985056,2,2,1,1,La Pintada ,1
985087,2,2,2,2,El Harino,0
985118,2,2,3,3,El Potrero,0
985149,2,2,4,4,Llano Grande,0
985180,2,2,5,5,Piedras Gordas,0
985211,2,2,6,6,Las Lomas,0
985242,2,2,7,7,Llano Norte,0
986017,2,3,1,1,Natá ,1
986048,2,3,2,2,Capellanía,0
986079,2,3,3,3,El Caño,0
986110,2,3,4,4,Guzmán,0
986141,2,3,5,5,Las Huacas,0
986172,2,3,6,6,Toza,0
986203,2,3,7,9,Villarreal,0
986978,2,4,1,1,Olá ,1
987009,2,4,2,2,El Copé,0
987040,2,4,3,3,El Palmar,0
987071,2,4,4,4,El Picacho,0
987102,2,4,5,5,La Pava,0
987939,2,5,1,1,Penonomé ,1
987970,2,5,2,2,Cañaveral,0
988001,2,5,3,3,Coclé,0
988032,2,5,4,4,Chiguirí Arriba,0
988063,2,5,5,5,El Coco,0
988094,2,5,6,6,Pajonal,0
988125,2,5,7,7,Río Grande,0
988156,2,5,8,8,Río Indio,0
988187,2,5,9,9,Toabré,0
988218,2,5,10,10,Tulú,0
988249,2,5,11,11,Boca De Tucué,0
988280,2,5,12,12,San Miguel,0
988311,2,5,13,13,Candelario Ovalle,0
988342,2,5,14,14,General Victoriano Lorenzo,0
988373,2,5,15,15,Riecito,0
988404,2,5,16,16,Las Minas,0
1012925,3,0,1,1,Barrio Norte,0
1012956,3,0,2,2,Barrio Sur,0
1012987,3,0,3,3,Buena Vista,0
1013018,3,0,4,4,Cativá,0
1013049,3,0,5,5,Ciricito,0
1013080,3,0,6,6,Cristobal,0
1013111,3,0,7,7,Escobal,0
1013142,3,0,8,8,Limón,0
1013173,3,0,9,9,Nueva Providencia,0
1013204,3,0,10,10,Puerto Pilón,0
1013235,3,0,11,11,Sabanitas,0
1013266,3,0,12,12,Salamanca,0
1013297,3,0,13,13,San Juan,0
1013328,3,0,14,14,Santa Rosa,0
1013359,3,0,15,15,Cristobal Este,0
1013886,3,1,1,1,Nvo. Chagres ,1
1013917,3,1,2,2,Achiote,0
1013948,3,1,3,3,El Guabo,0
1013979,3,1,4,4,La Encantada,0
1014010,3,1,5,5,Palmas Bellas,0
1014041,3,1,6,6,Piña,0
1014072,3,1,7,7,Salud,0
1014847,3,2,1,1,M. De La Borda ,1
1014878,3,2,2,2,Coclé Del Norte,0
1014909,3,2,3,3,El Guásimo,0
1014940,3,2,4,4,Gobea,0
1014971,3,2,5,5,Río Indio,0
1015808,3,3,1,1,Portobelo ,1
1015839,3,3,2,2,Cacique,0
1015870,3,3,3,3,Garrote,0
1015901,3,3,4,4,Isla Grande,0
1015932,3,3,5,5,María Chiquita,0
1016769,3,4,1,1,Palenque ,1
1016800,3,4,2,2,Cuango,0
1016831,3,4,3,3,Miramar,0
1016862,3,4,4,4,Nombre De Dios,0
1016893,3,4,5,5,Palmira,0
1016924,3,4,6,6,Playa Chiquita,0
1016955,3,4,7,7,Santa Isabel,0
1016986,3,4,8,8,Viento Frío,0
1017730,3,5,1,1,San José Del General,0
1017761,3,5,2,2,San Juan De Turbe,0
1017792,3,5,3,3,Nueva Esperanza,0
1042716,4,0,1,1,Alanje ,1
1042747,4,0,2,2,Divalá,0
1042778,4,0,3,3,El Tejar,0
1042809,4,0,4,4,Guarumal,0
1042840,4,0,5,5,Palo Grande,0
1042871,4,0,6,6,Querévalo,0
1042902,4,0,7,7,Santo Tomás,0
1042933,4,0,8,8,Canta Gallo,0
1042964,4,0,9,9,Nuevo México,0
1043677,4,1,1,1,Pto. Armuelles ,1
1043708,4,1,2,2,Limones,0
1043739,4,1,3,3,Progreso,0
1043770,4,1,4,4,Baco,0
1043801,4,1,5,5,Rodolfo Aguilar Delgado,0
1043832,4,1,6,6,El Palmar,0
1043863,4,1,7,7,Manaca,0
1044638,4,2,1,1,Boquerón ,1
1044669,4,2,2,2,Bágala,0
1044700,4,2,3,3,Cordillera,0
1044731,4,2,4,4,Guabal,0
1044762,4,2,5,5,Guayabal,0
1044793,4,2,6,6,Paraíso,0
1044824,4,2,7,7,Pedregal,0
1044855,4,2,8,8,Tijeras,0
1045599,4,3,1,1,Bajo Boquete ,1
1045630,4,3,2,2,Caldera,0
1045661,4,3,3,3,Palmira,0
1045692,4,3,4,4,Alto Boquete,0
1045723,4,3,5,5,Jaramillo,0
1045754,4,3,6,6,Los Naranjos,0
1046560,4,4,1,1,La Concepción ,1
1046591,4,4,2,2,Aserrío De Gariché,0
1046622,4,4,3,3,Bugaba,0
1046684,4,4,5,5,Gómez,0
1046715,4,4,6,6,La Estrella,0
1046746,4,4,7,7,San Andrés,0
1046777,4,4,8,8,Santa Marta,0
1046808,4,4,9,9,Santa Rosa,0
1046839,4,4,10,10,Santo Domingo,0
1046870,4,4,11,11,Sortová,0
1046932,4,4,13,13,El Bongo,0
1046963,4,4,14,14,Solano,0
1046994,4,4,15,15,San Isidro,0
1047521,4,5,1,1,David ,1
1047552,4,5,2,2,Bijagual,0
1047583,4,5,3,3,Cochea,0
1047614,4,5,4,4,Chiriquí,0
1047645,4,5,5,5,Guacá,0
1047676,4,5,6,6,Las Lomas,0
1047707,4,5,7,7,Pedregal,0
1047738,4,5,8,8,San Carlos,0
1047769,4,5,9,9,San Pablo Nuevo,0
1047800,4,5,10,10,San Pablo Viejo,0
1047831,4,5,11,11,David Este,0
1047862,4,5,12,12,David Sur,0
1048482,4,6,1,1,Dolega ,1
1048513,4,6,2,2,Dos Ríos,0
1048544,4,6,3,3,Los Anastacios,0
1048575,4,6,4,4,Potrerillos,0
1048606,4,6,5,5,Potrerillos Abajo,0
1048637,4,6,6,6,Rovira,0
1048668,4,6,7,7,Tinajas,0
1048699,4,6,8,8,Los Algarrobos,0
1049443,4,7,1,1,Gualaca ,1
1049474,4,7,2,2,Hornito,0
1049505,4,7,3,3,Los Ángeles,0
1049536,4,7,4,4,Paja De Sombrero,0
1049567,4,7,5,5,Rincón,0
1050404,4,8,1,1,Remedios ,1
1050466,4,8,3,3,El Nancito,0
1050559,4,8,6,6,El Porvenir,0
1050590,4,8,7,7,El Puerto,0
1050621,4,8,8,8,Santa Lucía,0
1051365,4,9,1,1,Río Sereno ,1
1051396,4,9,2,2,Breñón,0
1051427,4,9,3,3,Cañas Gordas,0
1051458,4,9,4,4,Monte Lirio,0
1051489,4,9,5,5,Plaza De Caisán,0
1051520,4,9,6,6,Santa Cruz,0
1051551,4,9,7,7,Santa Clara,0
1051582,4,9,8,8,Dominical,0
1052326,4,10,1,1,Horconcitos ,1
1052357,4,10,2,2,Boca Chica,0
1052419,4,10,4,4,Boca Del Monte,0
1052574,4,10,9,9,San Juan,0
1052605,4,10,10,10,San Lorenzo,0
1053287,4,11,1,1,Tolé ,1
1053442,4,11,6,6,Cerro Viejo,0
1053504,4,11,8,8,Lajas De Tolé,0
1053597,4,11,11,11,Potrero De Caña,0
1053628,4,11,12,12,Qda. De Piedra,0
1053690,4,11,14,14,Bella Vista,0
1053721,4,11,15,15,El Cristo,0
1053752,4,11,16,16,Justo Fidel Palacios,0
1053783,4,11,17,17,Veladero,0
1054248,4,12,1,1,Las Lajas ,1
1054465,4,12,8,8,Juay,0
1054558,4,12,11,11,San Félix,0
1054589,4,12,12,12,Lajas Adentro,0
1054620,4,12,13,13,Santa Cruz,0
1055209,4,13,1,1,Cuesta De Piedra,0
1055240,4,13,2,2,Volcán,0
1055271,4,13,3,3,Paso Ancho,0
1055302,4,13,4,4,Cerro Punta,0
1055333,4,13,5,5,Nueva California,0
1072507,5,0,1,1,La Palma ,1
1072538,5,0,2,2,Camogantí,0
1072569,5,0,3,3,Chepigana,0
1072600,5,0,4,4,Garachiné,0
1072631,5,0,5,5,Jaqué,0
1072662,5,0,6,6,Puerto Piña,0
1072755,5,0,9,9,Sambú,0
1072786,5,0,10,10,Setegantí,0
1072817,5,0,11,11,Taimatí,0
1072848,5,0,12,12,Tucutí,0
1073468,5,1,1,1,El Real S.m. ,1
1073499,5,1,2,2,Boca De Cupe,0
1073530,5,1,3,3,Paya,0
1073561,5,1,4,4,Pinogana,0
1073592,5,1,5,5,Púcuro,0
1073623,5,1,6,6,Yape,0
1073654,5,1,7,7,Yaviza,0
1073685,5,1,8,8,Metetí,0
1076351,5,4,1,1,Agua Fria,0
1076382,5,4,2,2,Cucunatí,0
1076413,5,4,3,3,Río Congo,0
1076444,5,4,4,4,Río Congo Arriba,0
1076475,5,4,5,5,Río Iglesias,0
1076506,5,4,6,6,Santa Fe,0
1076537,5,4,7,7,Zapallal,0
1102298,6,0,1,1,Chitré ,1
1102329,6,0,2,2,La Arena,0
1102360,6,0,3,3,Monagrillo,0
1102391,6,0,4,4,San Juan Bautista,0
1102422,6,0,5,5,Llano Bonito,0
1103259,6,1,1,1,Las Minas ,1
1103290,6,1,2,2,Chepo,0
1103321,6,1,3,3,Chumical,0
1103352,6,1,4,4,El Toro,0
1103383,6,1,5,5,Leones,0
1103414,6,1,6,6,Qda. Del Rosario,0
1103445,6,1,7,7,Quebrada El Ciprián,0
1104220,6,2,1,1,Los Pozos ,1
1104251,6,2,2,2,Capurí,0
1104282,6,2,3,3,El Calabacito,0
1104313,6,2,4,4,El Cedro,0
1104344,6,2,5,5,La Arena,0
1104375,6,2,6,6,La Pitaloza,0
1104406,6,2,7,7,Los Cerritos,0
1104437,6,2,8,8,Los Cerros De Paja,0
1104468,6,2,9,9,Las Llanas,0
1105181,6,3,1,1,Ocú ,1
1105212,6,3,2,2,Cerro Largo,0
1105243,6,3,3,3,Los Llanos,0
1105274,6,3,4,4,Llano Grande,0
1105305,6,3,5,5,Peñas Chatas,0
1105336,6,3,6,6,El Tijera,0
1105367,6,3,7,7,Menchaca,0
1105398,6,3,8,8,Entradero Del Castillo,0
1106142,6,4,1,1,Parita ,1
1106173,6,4,2,2,Cabuya,0
1106204,6,4,3,3,Los Castillos,0
1106235,6,4,4,4,Llano De La Cruz,0
1106266,6,4,5,5,París,0
1106297,6,4,6,6,Portobelillo,0
1106328,6,4,7,7,Potuga,0
1107103,6,5,1,1,Pesé ,1
1107134,6,5,2,2,Las Cabras,0
1107165,6,5,3,3,El Pájaro,0
1107196,6,5,4,4,El Barrero,0
1107227,6,5,5,5,El Pedregoso,0
1107258,6,5,6,6,El Ciruelo,0
1107289,6,5,7,7,Sabana Grande,0
1107320,6,5,8,8,Rincón Hondo,0
1108064,6,6,1,1,Santa María ,1
1108095,6,6,2,2,Chupampa,0
1108126,6,6,3,3,El Rincón,0
1108157,6,6,4,4,El Limón,0
1108188,6,6,5,5,Los Canelos,0
1132089,7,0,1,1,Guararé ,1
1132120,7,0,2,2,El Espinal,0
1132151,7,0,3,3,El Macano,0
1132182,7,0,4,4,Guararé Arriba,0
1132213,7,0,5,5,La Enea,0
1132244,7,0,6,6,La Pasera,0
1132275,7,0,7,7,Las Trancas,0
1132306,7,0,8,8,Llano Abajo,0
1132337,7,0,9,9,El Hato,0
1132368,7,0,10,10,Perales,0
1133050,7,1,1,1,Las Tablas ,1
1133081,7,1,2,2,Bajo Corral,0
1133112,7,1,3,3,Bayano,0
1133143,7,1,4,4,Carate,0
1133174,7,1,5,5,El Cocal,0
1133205,7,1,6,6,El Manantial,0
1133236,7,1,7,7,El Muñoz,0
1133267,7,1,8,8,El Pedregoso,0
1133298,7,1,9,9,La Laja,0
1133329,7,1,10,10,La Miel,0
1133360,7,1,11,11,La Palma,0
1133391,7,1,12,12,La Tiza,0
1133422,7,1,13,13,Las Palmitas,0
1133453,7,1,14,14,Las Tablas Abajo,0
1133484,7,1,15,15,Nuario,0
1133515,7,1,16,16,Palmira,0
1133546,7,1,17,17,Peña Blanca,0
1133577,7,1,18,18,Río Hondo,0
1133608,7,1,19,19,San José,0
1133639,7,1,20,20,San Miguel,0
1133670,7,1,21,21,Santo Domingo,0
1133701,7,1,22,22,El Sesteadero,0
1133732,7,1,23,23,Valle Rico,0
1133763,7,1,24,24,Vallerriquito,0
1134011,7,2,1,1,La Villa De Los Santos,0
1134042,7,2,2,2,El Guásimo,0
1134073,7,2,3,3,La Colorada,0
1134104,7,2,4,4,La Espigadilla,0
1134135,7,2,5,5,Las Cruces,0
1134166,7,2,6,6,Las Guabas,0
1134197,7,2,7,7,Los Ángeles,0
1134228,7,2,8,8,Los Olivos,0
1134259,7,2,9,9,Llano Largo,0
1134290,7,2,10,10,Sabanagrande,0
1134321,7,2,11,11,Santa Ana,0
1134352,7,2,12,12,Tres Quebradas,0
1134383,7,2,13,13,Villa Lourdes,0
1134414,7,2,14,14,Agua Buena,0
1134445,7,2,15,15,El Ejido,0
1134972,7,3,1,1,Macaracas ,1
1135003,7,3,2,2,Bahía Honda,0
1135034,7,3,3,3,Bajos De Güera,0
1135065,7,3,4,4,Corozal,0
1135096,7,3,5,5,Chupá,0
1135127,7,3,6,6,El Cedro,0
1135158,7,3,7,7,Espino Amarillo,0
1135189,7,3,8,8,La Mesa,0
1135220,7,3,9,9,Las Palmas,0
1135251,7,3,10,10,Llano De Piedra,0
1135282,7,3,11,11,Mogollón,0
1135933,7,4,1,1,Pedasí ,1
1135964,7,4,2,2,Los Asientos,0
1135995,7,4,3,3,Mariabé,0
1136026,7,4,4,4,Púrio,0
1136057,7,4,5,5,Oria Arriba,0
1136894,7,5,1,1,Pocrí ,1
1136925,7,5,2,2,El Cañafístulo,0
1136956,7,5,3,3,Lajaminas,0
1136987,7,5,4,4,Paraíso,0
1137018,7,5,5,5,Paritilla,0
1137855,7,6,1,1,Tonosí ,1
1137886,7,6,2,2,Altos De Güera,0
1137917,7,6,3,3,Cañas,0
1137948,7,6,4,4,El Bebedero,0
1137979,7,6,5,5,El Cacao,0
1138010,7,6,6,6,El Cortezo,0
1138041,7,6,7,7,Flores,0
1138072,7,6,8,8,Guánico,0
1138103,7,6,9,9,La Tronosa,0
1138134,7,6,10,10,Cambutal,0
1138165,7,6,11,11,Isla De Cañas,0
1162841,8,1,1,1,San Miguel ,1
1162872,8,1,2,2,La Ensenada,0
1162903,8,1,3,3,La Esmeralda,0
1162934,8,1,4,4,La Guinea,0
